OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
100,3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14),3.beta.-Hydroxy-5-cholenoic acid (NIST14)
101,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
102,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
103,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
104,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
105,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
106,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
107,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
108,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
109,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
110,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
111,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
112,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
113,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
114,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
115,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
116,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
117,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
118,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
119,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
120,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
121,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
122,Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14),Cholic acid (NIST14)
123,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
124,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
