570.T2_RF5_01_33130,571.T2_RF6_01_33131,572.T2_RF7_01_33132,573.T2_RF8_01_33133,574.T2_RF9_01_33134,575.T2_RF10_01_33135,576.T2_RF11_01_33136,577.T2_RF12_01_33137,578.T2_RG1_01_33139,580.T2_RG2_01_33140,581.T2_RG3_01_33141,582.T2_RG4_01_33142,583.T2_RG5_01_33143,584.T2_RG6_01_33144,585.T2_RG7_01_33145,586.T2_RG8_01_33146,588.T2_RG9_01_33147,589.T2_RG10_01_33148,590.T2_RG11_01_33149,591.T2_RG12_01_33150,592.T2_RH1_01_33152,593.T2_RH2_01_33153,594.T2_RH3_01_33154,595.T2_RH4_01_33155,596.T2_RH5_01_33156,597.T2_RH6_01_33157,598.T2_RH7_01_33158,599.T2_RH8_01_33159,600.T2_RH9_01_33160,601.T2_RH10_01_33161,602.T2_RH11_01_33162,603.T2_RH12_01_33163
1788,4112,2734,0,1738,2285,0,0,0,2941,6766,2113,2808,2750,0,0,0,0,0,3216,0,0,0,0,0,0,0,0,0,0,872,1924
0,0,0,8593,0,0,0,0,0,0,0,0,0,0,0,0,17164,9367,29838,31079,42689,6497,6703,13378,20246,14711,20788,20554,25576,23298,44828,31472
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80584,113514,43874,117001,57824,26846,15734,64622,114725,47093,33155,87338,73611,72902,82229,73348,0,0,0,0,0,20538,0,0,0,0,0,0,0,0,0,0
38572,12880,64199,73696,32933,31972,32433,64808,63665,35120,46159,36184,21569,11000,42427,70721,0,16294,28878,26256,16808,0,0,21383,0,25254,54465,69688,20316,37889,0,55118
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25190,0,0,0,0,0,0,0,29124,28187,22057,25153,16954,0,0,0,0,0,30358,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2320,0,2062,3327,1918,0,0,0,0,1633,1648,1414,4124,0,0
0,0,0,0,0,0,3741,0,0,0,1700,0,0,0,0,7286,0,20943,7077,0,18232,16456,21448,9396,32693,15111,13610,16834,27171,3602,39942,8249
0,0,0,0,0,0,0,3010,0,0,8697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12223,0,0,0,0,0,12973,12675,3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7030,2265,2678,0,2848,0,4446,2003,3823,0,6259,0,4596,0,5847
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7275,11892,0,8216,5758,0,3568,7167,3386,9429,6803,3214,4301,11223,4045,6929
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60200,22452,77201,10847,41136,0,53927,0,4726,0,28487,0,48267,0
0,0,0,0,5018,0,0,0,0,0,0,0,0,0,0,0,30681,5675,0,7412,20386,6984,0,16143,15137,0,0,6367,32925,6599,33243,0
15492,0,40450,33578,18138,32954,7854,20603,22637,23285,10849,53771,31638,9373,17899,25690,8982,0,0,0,20029,6900,0,0,0,0,5495,0,0,6557,14322,0
3745,0,2724,0,3427,2342,0,0,2466,1625,1947,4169,1904,3273,4736,5354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1781,0,0,0,0,0,0,0,0,0,0,1780,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2359,0,0,0,0,0,0,0,0,0,0,7172,6578,10112,0,0,0,4031,0,0,5207,0,2066,5218,0,0
