582.T1_RD8_01_33104,601.T1_RF2_01_33124,585.T1_RD11_01_33107,578.T1_RD5_01_33101,572.T1_RC11_01_33094,602.T1_RF3_01_33128,596.T1_RE9_01_33118,594.T1_RE7_01_33116,575.T1_RD2_01_33098,571.T1_RC10_01_33093,593.T1_RE6_01_33115,589.T1_RE2_01_33111,592.T1_RE5_01_33114,588.T1_RE1_01_33110,590.T1_RE3_01_33112,581.T1_RD7_01_33103,595.T1_RE8_01_33117,599.T1_RE12_01_33121,573.T1_RC12_01_33095,583.T1_RD9_01_33105,570.T1_RC9_01_33092,603.T1_RF4_01_33129,591.T1_RE4_01_33113,576.T1_RD3_01_33099,574.T1_RD1_01_33097,584.T1_RD10_01_33106,597.T1_RE10_01_33119,586.T1_RD12_01_33108,598.T1_RE11_01_33120,580.T1_RD6_01_33102,600.T1_RF1_01_33123,577.T1_RD4_01_33100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282,4852,0,0,0
0,11549,6616,8826,0,0,0,0,0,0,0,0,0,0,12611,3778,0,0,0,9614,0,0,0,0,0,6838,0,0,0,0,12002,0
0,16489,0,7900,0,35570,31756,0,11698,0,0,17273,6833,15393,14405,0,0,0,0,6543,0,0,7412,0,14552,7783,0,5984,16748,0,7091,16996
0,0,0,0,8291,5861,0,0,0,0,0,0,0,0,0,0,0,10871,0,0,7643,0,0,0,0,0,0,0,8483,0,8656,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8383,0,0,0,0,0,10875,0,0,0,0,0,0,0,0,11221,0,0,0,0,0,0,22473
7080,5696,0,0,20922,0,9510,9810,0,6425,0,7202,0,0,10355,9374,0,0,0,6637,16186,0,0,0,11453,0,0,0,0,10545,7181,12969
2321,0,0,0,0,14018,3850,0,0,10781,0,9886,21060,0,0,0,0,0,5871,0,0,0,4389,0,10343,0,3675,0,0,0,12988,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11384,0,0,0,0,0,0,0,0,0,0,0,0,0,12159,0,11429
0,0,0,0,9366,0,0,0,0,0,10390,4640,0,0,0,0,0,11865,0,0,0,0,0,0,12209,0,0,0,0,0,0,0
0,0,11075,0,9883,0,0,0,0,0,6311,0,0,0,0,8235,0,0,0,0,0,8744,0,0,0,0,18508,13092,0,5724,0,18322
