"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"21b85c60ae5f94ac86f0b9b898837f42","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.934442647718443
"4153d25d33fe92eec331f0569fa9c841","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Odoribacteraceae]"," g__Odoribacter",0.999999999051113
"74d88b7ee611537951e70963ca285eda","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.909479404380592
"a164c41d29edb7edc2a9c6caacdd3d39","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999941198098
"33541adbf68c557a010e5b9a4a061144","k__Bacteria"," p__Firmicutes"," c__Erysipelotrichi"," o__Erysipelotrichales"," f__Erysipelotrichaceae"," g__Allobaculum",0.999999857649694
"9b3375f969c6930226c273f796d1d231","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.765377225213889
"58e1c709ab7a11fc6d16b57925c35060","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999983629404
"b83faf163468fd9eeed0a75ff671465b","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__RF32"," f__"," g__",0.999999114773964
"24613025bd1ef80290ed8782b0095312","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.998997047958448
"f737910859a0cb8aff4844de47fa55cf","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Butyricicoccus",0.950918588282012
"d5561f383a99cf69209e719c1dd511ee","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Alcaligenaceae"," g__Sutterella",0.99965997299695
"f0ae1bf4cca3475bd198f7d575b7b173","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae",NA,0.997802860922792
"b9baf0846f02a440dd9ec7467ba08e4e","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.99805182874475
"c3075358fae5a4ea7ec3be416ec215a5","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999998398480096
"33a9575abe0f4d7e545807b49883144a","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.953917321007126
"4c1ca5d7e3a151ae13b947bed389961b","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.979586521382103
"1f60cf63894a72e2d9b7e25264848df9","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__Coprococcus",0.918646054222009
"088d98e657435b43a78f5154f4d4f353","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.922776976028101
"c9a4ee42b7aa7f30aeff1b8b5dca052b","k__Bacteria"," p__Tenericutes"," c__Mollicutes"," o__Anaeroplasmatales"," f__Anaeroplasmataceae"," g__Anaeroplasma",0.999995544478274
"7ab74051974b59fd0e1db261c5eeb66e","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.726139570680822
"da03a24b8629651c1919a1590b06261e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999998568522686
"752ae73137df0c8eda2cb3d74ee3b19f","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999957851492
"b2bcbf9e96b55a7c887ffb1c1d1d30d9","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999819343773
