"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"39b44a0646335aecc771eb7d8d5fb921","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999997507373
"c3a928d25543d20d1e561c9db95c8a66","k__Bacteria"," p__Deferribacteres"," c__Deferribacteres"," o__Deferribacterales"," f__Deferribacteraceae"," g__Mucispirillum",0.99999999045879
"d2722b732f9ee6167db34ed6c94232b6","k__Bacteria"," p__Deferribacteres"," c__Deferribacteres"," o__Deferribacterales"," f__Deferribacteraceae"," g__Mucispirillum",0.999999995898847
"118108e102c809deccf452084c5b5748","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Bifidobacteriales"," f__Bifidobacteriaceae"," g__Bifidobacterium",0.999797840919372
"8a8f453c27cfdc48c0f1ec1df064f0e0","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99994808320073
"0b25ff0a69ccb93866917a823f656ecb","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.97361792286819
"479d827e7080273054d5eee9df534cd0","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.971646250077496
"da786ad5e1ccbea0303e67a2418737c4","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999249720955
"26f30d52a432c32faa6d7d141ee3a18b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99999924498745
"6475c47b748a82b4e2a02f04f942e9c2","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.879256557254074
"c54baab6bd2aa64d75a9b647df7fc8ba","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99994921250886
"47e13ed5a6f8712dc0cd439dca1aa08c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999266255102
"49d0d7e93b41e4ce4b94977c249ae7ef","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999411772481
"a1c837c6bf98326013d7e6a23be688ba","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.871796099847917
"d128f82e71088e4388bee4610f4cf4de","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.877396083682311
"aa85a46ae600176364457edfc6ae2014","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999958009478206
"7513845831df8ed971745f71a4ac3fb1","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.882219693401264
"bc3d4362a4202a212746fb992ef35d51","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999986017537565
"b00cdc369507236544dccb3804880bf0","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.997862979075783
"775cc730ba255ad487e21b5050a032e7","k__Bacteria"," p__Deferribacteres"," c__Deferribacteres"," o__Deferribacterales"," f__Deferribacteraceae"," g__Mucispirillum",0.999999996863608
"a101944cfe22d9ca0abe99f03b51979e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.957203292692815
"a806f4b5cbda39695fa5af7029a1ef70","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999915817174
"7dd186109500fdf8336153937b355042","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.994516709890233
