,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo243976,27.4046485288598,1.03199146934762,1.03199146934762,0.855499285237023,1.20630313450431,0.22770062951566,0.537855953962834,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Ruminococcus",Clostridiales,Ruminococcaceae,Ruminococcus,NA,NA
denovo541021,69.2420625105529,1.02791145614804,1.02791145614804,0.45827901282919,2.24298173682932,0.024897992236943,0.174285945658602,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo226501,8.94508413627046,1.01414347505984,1.01414347505984,0.738302404041379,1.37361529572237,0.169561145798389,0.479152245529862,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo420313,10.1412145864633,-1.00160043485865,1.00160043485865,0.89950111112874,-1.11350661212835,0.265490910127228,0.570411163342659,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo337954,20.8703248767502,0.991100479950224,0.991100479950224,1.06640744779107,0.929382556360765,0.352690864567686,0.648592522128711,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo228890,26.3708762952464,0.96994863048873,0.96994863048873,0.711596638169145,1.36305960211433,0.172863727191654,0.479152245529862,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo414826,536.223446885744,0.963711238139164,0.963711238139164,0.465404504149414,2.07069598499153,0.038387215683875,0.212456501425744,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo351446,44.8628617711291,-0.963004619424211,0.963004619424211,1.11785198289619,-0.86147775748378,0.388974966347844,0.673134217240901,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Lactobacillaceae,G_Lactobacillus",Lactobacillales,Lactobacillaceae,Lactobacillus,NA,NA
denovo336637,8.65106972962007,0.947913304997119,0.947913304997119,0.556482018469462,1.703403297027,0.088492621129216,0.325472860763386,NA,NA,NA,"O_NA,F_NA,G_NA",NA,NA,NA,NA,Unassigned
denovo79770,7.5237914733274,0.925517069453334,0.925517069453334,1.49780232902059,0.617916698032196,0.536630251311073,0.782190450759653,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo337352,15.3847348435057,0.921620016417718,0.921620016417718,0.472367341627222,1.95106633164541,0.051049155671571,0.251765154107521,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo217383,172.974010457972,0.894097637263767,0.894097637263767,0.438985768187028,2.03673490590893,0.04167661456241,0.212456501425744,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo323807,54.3140022368006,0.892864874889702,0.892864874889702,0.47058944833611,1.89733296835842,0.057784006408923,0.256597501908608,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo426017,15.074296887042,0.891701218319415,0.891701218319415,0.792392208131152,1.12532810036394,0.260450026323327,0.570411163342659,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo283662,24.6953968957647,-0.88639886195858,0.88639886195858,1.07441101070674,-0.82500910091708,0.409366423821971,0.694004015385686,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo570498,701.478957839432,-0.872490867819646,0.872490867819646,0.724355170969383,-1.20450699157986,0.228393681389389,0.537855953962834,Bacteria,Deferribacteres,Deferribacteres,"O_Deferribacterales,F_Deferribacteraceae,G_Mucispirillum",Deferribacterales,Deferribacteraceae,Mucispirillum,schaedleri,NA
denovo254466,9.32222756924768,-0.863195232796865,0.863195232796865,0.986839066197422,-0.874707196304062,0.381733243531354,0.672816457333163,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo53252,7.45641066210493,0.862159348045246,0.862159348045246,0.641678580043546,1.34360001230949,0.17907776552975,0.4792838222339,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo145225,30.7900244430702,-0.855382319542491,0.855382319542491,0.844566839581227,-1.01280594910241,0.311152858559693,0.633464191920077,Bacteria,Cyanobacteria,4C0d-2,"O_YS2,F_NA,G_NA",YS2,NA,NA,NA,NA
denovo370273,9.04924097114605,-0.846962250033677,0.846962250033677,0.745313272626917,-1.13638423081946,0.255795792521527,0.569687250742438,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo218551,129.43106950968,-0.834318489364645,0.834318489364645,0.645007443181009,-1.29350211099891,0.195837454427448,0.499961501303013,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Lactobacillaceae,G_Lactobacillus",Lactobacillales,Lactobacillaceae,Lactobacillus,NA,NA
denovo469451,13.9550850417084,0.82900410556377,0.82900410556377,0.63167918142984,1.31238155369831,0.189391427626179,0.489261188034296,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
